
Convergence reached with value: 6.452783255937781e-07
Number of iteration: 8
Time taken:  0.01 seconds

Parameters: [ 0.11299055 -0.17631144 -0.11414678 -0.05388046  1.19312553 -0.01652232
 -0.03890472  0.02442415 -0.01563797]

Iteration: 0, Accepted: 0, Acceptance rate: 0.00
Iteration: 1000, Accepted: 195, Acceptance rate: 19.48
Iteration: 2000, Accepted: 428, Acceptance rate: 21.39
Iteration: 3000, Accepted: 656, Acceptance rate: 21.86
Iteration: 4000, Accepted: 878, Acceptance rate: 21.94
Iteration: 5000, Accepted: 1093, Acceptance rate: 21.86
Iteration: 6000, Accepted: 1313, Acceptance rate: 21.88
Iteration: 7000, Accepted: 1547, Acceptance rate: 22.10
Iteration: 8000, Accepted: 1739, Acceptance rate: 21.73
Iteration: 9000, Accepted: 1968, Acceptance rate: 21.86
Iteration: 10000, Accepted: 2177, Acceptance rate: 21.77
Iteration: 11000, Accepted: 2411, Acceptance rate: 21.92
Iteration: 12000, Accepted: 2635, Acceptance rate: 21.96
Iteration: 13000, Accepted: 2878, Acceptance rate: 22.14
Iteration: 14000, Accepted: 3104, Acceptance rate: 22.17
Iteration: 15000, Accepted: 3321, Acceptance rate: 22.14
Iteration: 16000, Accepted: 3532, Acceptance rate: 22.07
Iteration: 17000, Accepted: 3785, Acceptance rate: 22.26
Iteration: 18000, Accepted: 4023, Acceptance rate: 22.35
Iteration: 19000, Accepted: 4275, Acceptance rate: 22.50
Iteration: 20000, Accepted: 4487, Acceptance rate: 22.43
Iteration: 21000, Accepted: 4700, Acceptance rate: 22.38
Iteration: 22000, Accepted: 4921, Acceptance rate: 22.37
Iteration: 23000, Accepted: 5155, Acceptance rate: 22.41
Iteration: 24000, Accepted: 5377, Acceptance rate: 22.40
Iteration: 25000, Accepted: 5599, Acceptance rate: 22.40
Iteration: 26000, Accepted: 5811, Acceptance rate: 22.35
Iteration: 27000, Accepted: 6017, Acceptance rate: 22.28
Iteration: 28000, Accepted: 6242, Acceptance rate: 22.29
Iteration: 29000, Accepted: 6450, Acceptance rate: 22.24
Iteration: 30000, Accepted: 6689, Acceptance rate: 22.30
Iteration: 31000, Accepted: 6897, Acceptance rate: 22.25
Iteration: 32000, Accepted: 7124, Acceptance rate: 22.26
Iteration: 33000, Accepted: 7339, Acceptance rate: 22.24
Iteration: 34000, Accepted: 7536, Acceptance rate: 22.16
Iteration: 35000, Accepted: 7752, Acceptance rate: 22.15
Iteration: 36000, Accepted: 7966, Acceptance rate: 22.13
Iteration: 37000, Accepted: 8188, Acceptance rate: 22.13
Iteration: 38000, Accepted: 8456, Acceptance rate: 22.25
Iteration: 39000, Accepted: 8674, Acceptance rate: 22.24
Iteration: 40000, Accepted: 8900, Acceptance rate: 22.25
Iteration: 41000, Accepted: 9132, Acceptance rate: 22.27
Iteration: 42000, Accepted: 9349, Acceptance rate: 22.26
Iteration: 43000, Accepted: 9578, Acceptance rate: 22.27
Iteration: 44000, Accepted: 9812, Acceptance rate: 22.30
Iteration: 45000, Accepted: 10051, Acceptance rate: 22.34
Iteration: 46000, Accepted: 10289, Acceptance rate: 22.37
Iteration: 47000, Accepted: 10508, Acceptance rate: 22.36
Iteration: 48000, Accepted: 10726, Acceptance rate: 22.35
Iteration: 49000, Accepted: 10963, Acceptance rate: 22.37
Iteration: 50000, Accepted: 11196, Acceptance rate: 22.39
Iteration: 51000, Accepted: 11404, Acceptance rate: 22.36
Iteration: 52000, Accepted: 11657, Acceptance rate: 22.42
Iteration: 53000, Accepted: 11884, Acceptance rate: 22.42
Iteration: 54000, Accepted: 12106, Acceptance rate: 22.42
Iteration: 55000, Accepted: 12329, Acceptance rate: 22.42
Iteration: 56000, Accepted: 12539, Acceptance rate: 22.39
Iteration: 57000, Accepted: 12780, Acceptance rate: 22.42
Iteration: 58000, Accepted: 12993, Acceptance rate: 22.40
Iteration: 59000, Accepted: 13201, Acceptance rate: 22.37
Iteration: 60000, Accepted: 13425, Acceptance rate: 22.37
Iteration: 61000, Accepted: 13654, Acceptance rate: 22.38
Iteration: 62000, Accepted: 13899, Acceptance rate: 22.42
Iteration: 63000, Accepted: 14115, Acceptance rate: 22.40
Iteration: 64000, Accepted: 14333, Acceptance rate: 22.39
Iteration: 65000, Accepted: 14566, Acceptance rate: 22.41
Iteration: 66000, Accepted: 14781, Acceptance rate: 22.40
Iteration: 67000, Accepted: 15025, Acceptance rate: 22.43
Iteration: 68000, Accepted: 15229, Acceptance rate: 22.40
Iteration: 69000, Accepted: 15477, Acceptance rate: 22.43
Iteration: 70000, Accepted: 15697, Acceptance rate: 22.42
Iteration: 71000, Accepted: 15921, Acceptance rate: 22.42
Iteration: 72000, Accepted: 16131, Acceptance rate: 22.40
Iteration: 73000, Accepted: 16343, Acceptance rate: 22.39
Iteration: 74000, Accepted: 16567, Acceptance rate: 22.39
Iteration: 75000, Accepted: 16792, Acceptance rate: 22.39
Iteration: 76000, Accepted: 17035, Acceptance rate: 22.41
Iteration: 77000, Accepted: 17244, Acceptance rate: 22.39
Iteration: 78000, Accepted: 17481, Acceptance rate: 22.41
Iteration: 79000, Accepted: 17704, Acceptance rate: 22.41
Iteration: 80000, Accepted: 17926, Acceptance rate: 22.41
